station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(?S/CM) at 25?,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
018-HYDCHENNAI,Kumarapalayam,Surface Water,Puducherry,Puducherry,Puducherry,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,CWC,17-12-2009 00:00,NULL,NULL,NULL,NULL,NULL,0,144.15,NULL,NULL,NULL,NULL,0.633,17.96,NULL,NULL,NULL,46.505,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255,NULL,0.2356,NULL,NULL,NULL,97.55,175.863,NULL,5.0048,12.636,NULL,48.622,50.6084,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.91,NULL,NULL,0.946539,2.14957,NULL,44.9,NULL,NULL,11.376,NULL,NULL,NULL,NULL,24.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
018-HYDCHENNAI,Kumarapalayam,Surface Water,Puducherry,Puducherry,Puducherry,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,CWC,09-11-2009 00:00,NULL,NULL,NULL,NULL,NULL,0,72.05,NULL,NULL,NULL,NULL,0.284,13.06,NULL,NULL,NULL,26.6605,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,175,NULL,0.1615,NULL,NULL,NULL,73.15,87.901,NULL,3.0889,9.72,NULL,23.506,40.0482,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.8,NULL,NULL,0,1.20015,NULL,32.65,NULL,NULL,9.744,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
018-HYDCHENNAI,Kumarapalayam,Surface Water,Puducherry,Puducherry,Puducherry,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,CWC,01-12-2008 00:00,NULL,NULL,NULL,NULL,NULL,0,106.25,NULL,NULL,NULL,NULL,NULL,22.4,NULL,NULL,NULL,51.475,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,215,NULL,NULL,NULL,NULL,NULL,102.575,129.625,NULL,NULL,11.178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,6.98,NULL,NULL,0.0870346,NULL,NULL,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
018-HYDCHENNAI,Kumarapalayam,Surface Water,Puducherry,Puducherry,Puducherry,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,CWC,03-01-2011 00:00,NULL,NULL,NULL,NULL,NULL,23.7463,203.79,NULL,NULL,NULL,NULL,0.671,39.24,NULL,NULL,NULL,68.91,NULL,28.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,540,NULL,0.33,NULL,NULL,NULL,183.183,190.45,NULL,5.6,20.42,NULL,45.3,34.255,NULL,NULL,NULL,NULL,0.684,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,8.32,NULL,NULL,0.436796,1.46087,NULL,98.1,NULL,NULL,13.6,NULL,NULL,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
018-HYDCHENNAI,Kumarapalayam,Surface Water,Puducherry,Puducherry,Puducherry,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,CWC,09-11-2010 00:00,NULL,NULL,NULL,NULL,NULL,0,98.9426,NULL,NULL,NULL,NULL,1.845,14.72,NULL,NULL,NULL,28.71,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,262,NULL,0.195,NULL,NULL,NULL,81.3417,120.71,NULL,4.1,10.69,NULL,22.3,36.0711,NULL,NULL,NULL,NULL,0.122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.66,NULL,NULL,0.364334,1.07969,NULL,36.8,NULL,NULL,6.94,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
018-HYDCHENNAI,Kumarapalayam,Surface Water,Puducherry,Puducherry,Puducherry,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,CWC,12-12-2005 00:00,NULL,NULL,NULL,NULL,NULL,0,141.5,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,37.985,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,647,NULL,NULL,NULL,NULL,NULL,84.55,172.63,NULL,NULL,10.692,NULL,28.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.07,NULL,NULL,1.15133,1.36516,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
018-HYDCHENNAI,Kumarapalayam,Surface Water,Puducherry,Puducherry,Puducherry,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,CWC,11-11-2015 00:00,NULL,NULL,NULL,NULL,NULL,0,82.7623,NULL,NULL,NULL,NULL,1.46,17.37,NULL,NULL,NULL,46.81,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,297,NULL,0.266,NULL,NULL,NULL,90.7167,100.97,NULL,2.5,11.35,NULL,30.1,41.2496,0.053,NULL,NULL,1.036,1.035,NULL,0.087,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.47,NULL,NULL,0,1.37979,NULL,43.425,NULL,NULL,13.6,NULL,NULL,NULL,167,23.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.001,NULL,NULL,NULL,NULL
018-HYDCHENNAI,Kumarapalayam,Surface Water,Puducherry,Puducherry,Puducherry,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,CWC,09-12-2015 00:00,NULL,NULL,NULL,NULL,NULL,0,91.9508,NULL,NULL,NULL,NULL,1.46,22.71,NULL,NULL,NULL,33.04,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,270,NULL,0.256,NULL,NULL,NULL,100.692,112.18,NULL,3.1,10.54,NULL,17.2,26.4544,0.04,NULL,NULL,0.364,0.363,NULL,0.047,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.86,NULL,NULL,0,0.748035,NULL,56.775,NULL,NULL,9.22,NULL,NULL,NULL,148,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.001,NULL,NULL,NULL,NULL
018-HYDCHENNAI,Kumarapalayam,Surface Water,Puducherry,Puducherry,Puducherry,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,CWC,04-12-2017 00:00,NULL,NULL,NULL,NULL,NULL,0,84,0.29,NULL,NULL,NULL,1.2,18,NULL,0.08,NULL,46.1,NULL,0,NULL,NULL,NULL,4.39,2.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,342,NULL,0.2,NULL,0,44,93,103,NULL,3.1,11.7,NULL,35,44,0.06,0.07,NULL,0.21,0.2,NULL,0,NULL,NULL,NULL,0.52,NULL,NULL,NULL,7,8,NULL,NULL,0,1.6,NULL,NULL,NULL,NULL,12.1,NULL,NULL,NULL,182,27,NULL,NULL,NULL,NULL,NULL,NULL,19.4,0.01,NULL,NULL,NULL,NULL
018-HYDCHENNAI,Kumarapalayam,Surface Water,Puducherry,Puducherry,Puducherry,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,CWC,03-12-2019 00:00,NULL,NULL,NULL,NULL,NULL,0,127,2.4,0.04,NULL,NULL,1.8,35,NULL,0,NULL,64.7,NULL,0,NULL,NULL,NULL,0.6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,480,NULL,0.29,NULL,0,88,150,154,NULL,4.1,14.8,NULL,43.4,38,NULL,4.9,NULL,0.29,0.26,NULL,0.15,NULL,NULL,NULL,13.3,NULL,NULL,NULL,NULL,8,NULL,NULL,0,1.5,NULL,NULL,11.3,NULL,26.4,NULL,NULL,NULL,288,28,NULL,NULL,NULL,NULL,NULL,NULL,0.8,0.03,NULL,NULL,NULL,NULL
